timeStamp,label,threadName,Latency
1516797466415,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,200
1516797466256,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,359
1516797466499,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797466620,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,160
1516797466620,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,164
1516797466648,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,193
1516797466693,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,192
1516797466784,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,160
1516797466780,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,164
1516797466821,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,168
1516797466841,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,196
1516797466876,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,199
1516797466601,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,478
1516797466885,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,200
1516797466944,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,157
1516797466944,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,164
1516797466990,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,163
1516797467037,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797467080,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,170
1516797467101,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,155
1516797467054,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,204
1516797467108,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,161
1516797467075,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,194
1516797467085,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,189
1516797467163,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,152
1516797467251,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-3,159
1516797467256,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-2,154
1516797467269,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,157
1516797467232,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797467251,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,194
1516797467259,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,197
1516797467269,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,196
1516797467274,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797467315,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,161
